,University,Program,Criminal Record,Scholarship,Income
0,2,3,1,0,mid
1,3,2,1,2,mid
2,1,0,0,0,high
3,0,3,1,2,mid
4,4,1,1,0,mid
5,5,4,0,0,mid
6,1,0,0,0,high
7,4,4,0,1,mid
8,1,0,1,1,high
9,5,3,0,2,mid
10,5,2,1,3,mid
11,1,0,0,1,high
12,5,2,0,3,mid
13,3,3,0,2,mid
14,2,1,1,2,mid
15,2,4,0,2,mid
16,1,4,1,3,mid
17,5,3,1,1,mid
18,1,3,0,2,mid
19,4,4,1,3,mid
20,1,3,0,2,mid
21,5,4,0,1,mid
22,2,3,0,1,mid
23,4,3,0,0,mid
24,2,3,1,2,mid
25,1,3,0,1,mid
26,2,0,0,2,high
27,2,4,0,0,mid
28,5,0,1,0,high
29,1,1,0,3,mid
30,5,1,0,1,low
31,3,3,0,3,mid
32,4,0,1,3,high
33,3,0,1,2,high
34,2,4,0,0,mid
35,2,0,0,0,high
36,0,0,0,2,high
37,2,0,1,2,high
38,2,3,0,1,mid
39,3,0,0,3,high
40,3,3,0,2,mid
41,0,3,0,3,mid
42,5,3,0,2,mid
43,0,0,0,2,high
44,2,1,1,1,mid
45,0,1,0,2,low
46,0,3,0,1,mid
47,3,2,0,1,mid
48,5,0,0,3,high
49,3,4,0,1,mid
50,3,2,1,2,mid
51,1,2,1,2,mid
52,4,4,1,3,mid
53,2,2,1,2,mid
54,4,4,0,1,mid
55,4,2,0,1,mid
56,1,3,1,0,mid
57,3,3,1,2,mid
58,1,4,0,1,mid
59,3,1,1,0,low
60,4,2,1,1,mid
61,0,0,0,2,high
62,4,0,1,0,high
63,4,0,0,1,high
64,1,0,1,2,high
65,2,3,0,2,mid
66,0,0,1,2,high
67,0,3,0,2,mid
68,3,0,0,3,high
69,3,3,1,2,mid
70,0,1,0,1,low
71,1,0,0,1,high
72,2,1,0,1,low
73,0,0,0,0,high
74,3,3,1,2,mid
75,1,4,0,3,mid
76,3,4,0,2,mid
77,4,1,1,2,low
78,5,1,0,3,mid
79,1,3,1,2,mid
80,0,1,0,3,low
81,4,1,0,2,mid
82,1,1,1,0,low
83,5,2,0,0,mid
84,0,0,1,0,high
85,2,0,0,2,high
86,4,0,0,3,high
87,0,3,0,1,mid
88,3,3,0,0,mid
89,0,2,0,1,mid
90,3,1,0,2,low
91,1,1,0,1,mid
92,5,4,0,2,mid
93,3,1,0,2,low
94,0,3,1,1,mid
95,3,0,1,1,high
96,5,0,0,2,high
97,1,1,0,1,low
98,4,0,0,2,high
99,2,2,1,1,mid
100,2,4,1,0,mid
101,0,2,1,1,mid
102,2,2,1,0,mid
103,3,0,1,0,high
104,0,1,1,0,low
105,3,0,1,0,high
106,3,3,0,1,mid
107,2,2,0,0,mid
108,0,0,0,1,high
109,3,0,1,1,high
110,3,3,1,0,mid
111,5,1,0,0,mid
112,0,4,1,1,mid
113,3,1,0,0,low
114,2,4,1,0,mid
115,4,0,0,1,high
116,1,2,1,2,mid
117,1,3,0,1,mid
118,4,0,0,3,high
119,2,2,1,3,mid
120,2,2,1,3,mid
121,0,0,1,2,high
122,5,3,0,1,mid
123,1,2,1,0,mid
124,5,3,1,2,mid
125,1,1,0,3,low
126,5,2,0,2,mid
127,5,0,1,3,high
128,4,0,0,0,high
129,1,2,0,1,mid
130,0,0,0,2,high
131,5,2,1,3,mid
132,3,4,0,1,mid
133,3,1,0,2,low
134,3,1,0,0,mid
135,0,1,0,3,low
136,4,3,1,1,mid
137,4,1,0,0,mid
138,3,3,1,0,mid
139,1,4,1,3,mid
140,4,2,0,3,mid
141,2,0,1,2,high
142,2,4,1,3,mid
143,1,1,0,1,low
144,4,4,1,0,mid
145,3,3,0,1,mid
146,1,4,1,2,mid
147,3,2,0,3,mid
148,1,3,1,2,mid
149,3,2,0,3,mid
150,0,0,1,2,high
151,3,1,1,2,mid
152,1,4,0,1,mid
153,1,4,1,1,mid
154,3,4,1,2,mid
155,4,3,0,3,mid
156,1,3,0,0,mid
157,4,0,1,1,high
158,3,1,0,2,mid
159,2,1,0,1,low
160,2,4,1,1,mid
161,3,2,0,0,mid
162,1,4,0,3,mid
163,5,2,1,3,mid
164,2,3,0,3,mid
165,0,1,1,3,mid
166,3,4,1,3,mid
167,0,4,0,0,mid
168,1,0,0,1,high
169,2,3,1,1,mid
170,2,0,1,2,high
171,4,0,1,1,high
172,5,3,0,2,mid
173,4,2,0,0,mid
174,4,0,1,3,high
175,4,1,0,2,low
176,5,2,1,3,mid
177,4,4,0,1,mid
178,1,4,1,1,mid
179,2,3,1,0,mid
180,0,1,0,3,low
181,2,3,0,1,mid
182,3,2,0,1,mid
183,4,0,0,0,high
184,0,2,1,0,mid
185,1,0,0,2,high
186,5,3,0,2,mid
187,5,3,1,0,mid
188,0,2,1,0,mid
189,2,3,1,2,mid
190,1,1,0,0,mid
191,0,3,0,0,mid
192,0,2,0,3,mid
193,4,0,1,2,high
194,0,3,0,2,mid
195,5,3,1,3,mid
196,0,2,1,2,mid
197,5,1,1,0,low
198,4,3,0,0,mid
199,2,4,1,2,mid
200,3,2,1,2,mid
201,5,4,1,0,mid
202,4,4,0,2,mid
203,0,2,0,2,mid
204,2,3,0,3,mid
205,3,1,1,1,low
206,2,3,0,2,mid
207,4,1,1,0,low
208,3,2,1,3,mid
209,1,4,0,3,mid
210,3,4,0,1,mid
211,4,3,1,3,mid
212,3,0,0,1,high
213,2,3,0,2,mid
214,4,0,0,1,high
215,2,0,0,3,high
216,5,0,1,1,high
217,1,0,1,0,high
218,5,4,1,1,mid
219,2,0,1,0,high
220,5,4,1,2,mid
221,3,2,1,1,mid
222,4,0,1,3,high
223,5,0,0,1,high
224,5,4,0,0,mid
225,5,2,0,2,mid
226,2,1,0,0,low
227,1,4,0,3,mid
228,3,1,1,3,low
229,4,4,0,0,mid
230,0,3,1,2,mid
231,5,3,1,3,mid
232,4,1,0,2,low
233,0,4,0,0,mid
234,2,4,0,0,mid
235,1,2,1,1,mid
236,0,0,1,3,high
237,1,0,1,1,high
238,3,1,0,0,low
239,3,0,0,3,high
240,5,2,0,1,mid
241,4,1,0,2,mid
242,5,3,0,1,mid
243,2,0,0,3,high
244,4,0,0,3,high
245,0,1,0,2,low
246,1,3,1,2,mid
247,5,0,0,1,high
248,1,1,0,3,mid
249,5,3,0,2,mid
250,2,1,1,2,low
251,1,3,1,1,mid
252,4,3,1,3,mid
253,3,2,0,3,mid
254,1,2,0,3,mid
255,4,1,1,1,mid
256,2,0,0,2,high
257,3,4,1,3,mid
258,4,1,0,0,mid
259,5,2,0,0,mid
260,1,1,0,0,low
261,5,2,1,2,mid
262,2,3,1,0,mid
263,1,1,0,2,low
264,1,4,0,2,mid
265,0,1,0,3,mid
266,3,0,1,2,high
267,4,0,0,1,high
268,0,4,0,3,mid
269,1,4,0,0,mid
270,0,0,1,3,high
271,2,1,0,0,low
272,1,4,1,1,mid
273,0,2,1,1,mid
274,4,3,1,3,mid
275,4,4,1,2,mid
276,5,1,1,1,mid
277,3,3,0,1,mid
278,3,2,0,3,mid
279,2,2,1,2,mid
280,5,0,0,3,high
281,4,4,0,2,mid
282,2,0,0,3,mid
283,3,3,0,3,mid
284,1,0,1,1,high
285,4,3,1,1,mid
286,1,2,0,0,mid
287,0,2,0,2,mid
288,3,1,1,3,low
289,2,3,1,1,mid
290,4,2,0,0,mid
291,1,3,0,1,mid
292,3,3,1,2,mid
293,4,4,1,0,mid
294,0,4,1,1,mid
295,5,4,0,2,mid
296,2,1,1,1,low
297,4,1,0,2,low
298,4,4,1,0,mid
299,4,4,0,0,mid
300,5,0,0,2,high
301,4,4,0,0,mid
302,5,1,0,1,mid
303,1,2,0,2,mid
304,4,1,1,3,low
305,1,1,1,0,low
306,5,0,0,2,high
307,4,0,0,1,high
308,0,2,1,2,mid
309,1,2,1,3,mid
310,1,1,1,0,mid
311,1,3,0,0,mid
312,1,4,1,3,mid
313,5,2,1,0,mid
314,3,1,0,3,low
315,5,4,0,1,mid
316,3,4,0,3,mid
317,4,4,1,1,mid
318,3,2,1,3,mid
319,2,0,0,0,high
320,4,0,0,0,high
321,3,1,1,3,mid
322,5,4,0,2,mid
323,2,1,0,1,mid
324,1,4,1,0,mid
325,2,4,1,2,mid
326,0,3,1,1,mid
327,4,1,1,1,mid
328,2,0,1,1,high
329,2,3,0,1,mid
330,2,2,0,0,mid
331,1,1,0,1,mid
332,1,1,1,0,low
333,2,3,0,0,mid
334,5,4,0,3,mid
335,3,2,1,3,mid
336,3,3,0,3,mid
337,1,4,1,1,mid
338,1,2,1,2,mid
339,5,0,1,1,high
340,2,0,0,0,high
341,2,0,0,3,high
342,4,2,0,0,mid
343,2,3,1,0,mid
344,4,1,1,3,low
345,0,3,0,3,mid
346,1,1,0,3,mid
347,0,2,1,2,mid
348,3,1,1,3,mid
349,4,3,1,0,mid
350,2,3,1,1,mid
351,1,2,1,2,mid
352,3,0,0,2,high
353,0,3,0,3,mid
354,0,1,0,2,low
355,3,3,0,3,mid
356,3,3,1,1,mid
357,3,2,1,2,mid
358,3,4,0,0,mid
359,3,3,1,3,mid
360,4,1,0,2,mid
361,4,4,1,1,mid
362,0,1,0,2,mid
363,1,0,1,3,high
364,3,0,1,0,high
365,1,3,1,3,mid
366,2,1,0,3,mid
367,4,4,1,3,mid
368,2,3,0,0,mid
369,2,4,1,2,mid
370,5,3,1,2,mid
371,3,4,0,0,mid
372,2,0,0,3,high
373,1,2,0,2,mid
374,1,4,1,2,mid
375,4,4,1,2,mid
376,4,0,1,2,high
377,5,2,0,1,mid
378,5,1,1,1,low
379,5,3,0,0,mid
380,2,2,0,1,mid
381,2,3,0,2,mid
382,0,4,0,2,mid
383,5,2,0,0,mid
384,0,0,0,0,high
385,3,2,0,1,mid
386,0,0,0,2,high
387,0,0,1,3,high
388,2,0,1,2,high
389,1,4,0,1,mid
390,0,4,0,0,mid
391,3,2,1,2,mid
392,1,2,0,1,mid
393,3,0,0,3,high
394,1,2,1,1,mid
395,1,2,1,0,mid
396,2,3,0,1,mid
397,5,3,1,3,mid
398,4,0,0,1,high
399,5,2,0,0,mid
400,0,3,1,1,mid
401,0,1,1,2,low
402,5,3,0,1,mid
403,5,1,0,0,low
404,4,2,0,1,mid
405,3,4,0,0,mid
406,5,3,0,0,mid
407,4,3,0,0,mid
408,4,1,0,1,mid
409,2,4,1,2,mid
410,1,0,0,3,high
411,1,1,1,0,mid
412,4,3,1,0,mid
413,3,1,0,0,low
414,2,4,1,3,mid
415,3,3,1,1,mid
416,2,1,0,2,low
417,1,3,1,3,mid
418,4,4,1,2,mid
419,0,2,1,1,mid
420,5,2,1,2,mid
421,0,4,1,0,mid
422,2,3,0,0,mid
423,3,1,0,3,low
424,1,1,1,0,mid
425,1,2,1,3,mid
426,4,0,0,1,high
427,1,1,0,3,low
428,0,2,1,0,mid
429,3,3,0,1,mid
430,5,2,0,2,mid
431,4,2,1,0,mid
432,5,0,1,3,high
433,1,1,1,1,mid
434,2,0,1,1,high
435,5,0,0,0,high
436,5,3,1,1,mid
437,5,3,0,3,mid
438,3,3,1,2,mid
439,2,4,0,2,mid
440,5,1,0,2,mid
441,2,3,1,0,mid
442,2,3,0,2,mid
443,3,0,1,0,high
444,2,2,1,0,mid
445,3,4,0,2,mid
446,3,4,1,2,mid
447,3,4,0,3,mid
448,4,1,1,1,mid
449,3,0,0,1,high
450,4,4,0,3,mid
451,5,2,0,2,mid
452,5,4,0,1,mid
453,2,2,0,2,mid
454,3,2,1,2,mid
455,2,0,0,3,high
456,2,1,0,0,low
457,4,0,0,0,high
458,0,4,1,3,mid
459,5,2,0,1,mid
460,3,3,0,2,mid
461,2,4,1,1,mid
462,0,0,0,1,high
463,0,1,1,3,mid
464,4,4,1,0,mid
465,3,3,0,0,mid
466,1,2,1,0,mid
467,1,3,0,1,mid
468,4,1,1,3,mid
469,2,0,0,2,high
470,0,4,1,3,mid
471,1,1,1,0,mid
472,0,3,0,0,mid
473,0,0,1,1,high
474,5,3,0,2,mid
475,0,0,1,1,high
